feedback,sentiment,nps,service_advisor_name,brand_name,branch,date,promoters,passive,detractor,category,topic
"The servicing price is expensive, considering the customers having their cars serviced are also customers from their showroom (nissan). It feels like nissan is double killing the customers for profit. 
Would be better if gifting the customers with free servicing with at least up to 20km free Maintenance servicing. It would be a satisfactory customer service and would be highly appreciated by us.",negative,9,Mohamed Mohsen,,,2023-10-07,1,0,0,,
"Washing of Vehicle was not done properly & instead of vacuuming the Interiors, air was used to cleaning the interior carpets causing all sand to be blow from the carpets onto the seats, dashboard & in the centre console of the vehicle.",negative,7,Kamal Al Saber,,,2023-10-07,0,1,0,,
Many thanks,positive,10,Aswad Karim,,,2023-10-08,1,0,0,,
"I was not informed that payment will be made for the service provided, and the air conditioner has not been changed because it is not available and the full amount of the service has been withdrawn without changing the filter 
I was not informed that there is no air conditioner filter for the car currently in the service center and the service will be postponed for another day ",negative,8,Minas Elie C.,,,2023-10-08,0,1,0,,
Marla (Airport Rd Service Centre) is an excellent customer service manager and really an asset to the organisation. Very much appreciate her courtesy and the professional attitude she has demonstrated in dealing with me as an Al Masaood customer. Regards Shajeel AR,positive,9,Marla Nunez,,,2023-10-09,1,0,0,,
Excellent. I wish you further progress and prosperity,positive,10,Mohd Noureldin,,,2023-10-09,1,0,0,,
‏لم there are still comments. Thank you,positive,8,Charbel Semaan,,,2023-10-09,0,1,0,,
Reply to emails. Every time I have to call several times and eventually come to the service center to have an answer,negative,0,Avtik Raje,,,2023-10-09,0,0,1,,
"Continue doing the same and hoping that services will get more quicker, better and more efficient",negative,9,Vivian Rodricks,,,2023-10-09,1,0,0,,
Pls continue the full customer service experience which is of a high standard. From reminding us of the upcoming due service to advisor communication and final service completion. Thank you.,positive,9,Harish V.,,,2023-10-10,1,0,0,,
Thank you brother Khalid for the speed of service and the detailed explanation of the services provided by Al Masaood. I also thank him for taking care of my car.,positive,10,Khalid Khamis,,,2023-10-10,1,0,0,,
Shortening the service delivery time as it takes a very long time can be shortened. Attention can also be paid to cleaning the car after the completion of the inspection as the cleaning was not at the required level,negative,8,Minas Elie C.,,,2023-10-10,0,1,0,,
Service took longer than first promised.,negative,10,Ahmed Layth,,,2023-10-10,1,0,0,,
Time delay + no one at the office + customer delay caused other than work,negative,0,Janidu Harindra,,,2023-10-10,0,0,1,,
Mr Kareem was very capable and helpful. I was very happy with his work.,positive,10,Aswad Karim,,,2023-10-11,1,0,0,,
Please reduce the prices of checks and coupons because their price is very high. Thank you,positive,10,Mohamed Mohsen,,,2023-10-11,1,0,0,,
Providing special offers to customers,positive,10,Marla Nunez,,,2023-10-12,1,0,0,,
Thank you for dealing with Nasser,positive,10,Juan Kasilag,,,2023-10-12,1,0,0,,
Everything was perfect,positive,10,Harish V.,,,2023-10-12,1,0,0,,
Reduce the parts price and also the repair,positive,7,Aswad Karim,,,2023-10-12,0,1,0,,
Mr Charbel he is the best assistant really i will give him the BIG EXCELLENT 💯,positive,10,Charbel Semaan,,,2023-10-12,1,0,0,,
Please consider the exaggerated prices because customers often complain about the high prices and go to alternative places with reasonable prices and excellent quality,positive,10,Aswad Karim,,,2023-10-12,1,0,0,,
"My car standing on the company for more than three weeks , I pay for 4WD motor and it shall cover by warranty because I bought the car before completion of 3 years and thee issue was there ",negative,3,Abuthahir T.S.,,,2023-10-12,0,0,1,,
Price is too high. Discount on prices would help attract more customers. 35-40% discount should be offered on service packages.,negative,9,Aswad Karim,,,2023-10-12,1,0,0,,
Thanks for khaled al ghaithi,positive,10,Khalid Khamis,,,2023-10-13,1,0,0,,
All service done well by cooperation by sales Persian only charges are high,positive,10,Janidu Harindra,,,2023-10-13,1,0,0,,
Keep quality+give deferante discount if the car more 0ld give more discoynt,negative,10,Avtik Raje,,,2023-10-13,1,0,0,,
You’re servece not good,negative,4,Clifford P.,,,2023-10-13,0,0,1,,
Have your delivery managers understand the problem and communicate to the technical team. Also have them stop creating excuses as to why they could not do their job or fix the problem,negative,5,Marla Nunez,,,2023-10-13,0,0,1,,
"Need to have reduced spares and service.cost
Also last time damaged button during service should be replaced free of cost...same is highlighted this time but no positive response ",negative,7,Nabeel A.,,,2023-10-13,0,1,0,,
"Make a work order. Let's know us know what did. 
That service its very bad, because no procedure to recibe the car. No filling any conditions form at the time to recibing cars. No filling forms after have completed that service . 
The process for maintenance services are very bad.",negative,7,Janidu Harindra,,,2023-10-13,0,1,0,,
The services are excellent and the staff is professional and satisfy customers ..I like all the services,positive,10,Harish V.,,,2023-10-14,1,0,0,,
No changes required. Everything was smooth and without issues.,positive,10,Salwa Rboub,,,2023-10-14,1,0,0,,
Ms Salwa is amazing. Know how to explain and prepare everything and make it easier for the client,positive,10,Salwa Rboub,,,2023-10-14,1,0,0,,
"Your advisor has reall y

Really satisfied with Service and clarifications of my minor car problems as the advisor has properly ",positive,10,6772 Neema Sabti,,,2023-10-14,1,0,0,,
Be committed to the given time to pick up the car.,positive,1,Mohamed Mohsen,,,2023-10-14,0,0,1,,
"It appears there is no system in the way Renault Service Center handle customers. The service advisors are overwhelmed with customers who wish to drop their cars for servicing and at the same time attend to customers who wish to pick up their cars after servicing. I was fortunate to meet a helpful staff who enabled me to pick up my car after waiting a while. In my opinion, the service center should give out tokens to customers. ",negative,4,Vivian Rodricks,,,2023-10-14,0,0,1,,
"The car was not washed from inside, even though I ordered a car wash ",negative,10,Nassir Al Mendhry,,,2023-10-14,1,0,0,,
"Very poor communication from the agent and two days to do a minor service is unacceptable 

No updates from the agent, 8 times I tried calling for updates to see where my car was with no answer ",negative,0,Moamen Mohamed,,,2023-10-14,0,0,1,,
I am really happy and satisfied with his polite behavior and response with customer.,positive,10,Charbel Semaan,,,2023-10-16,1,0,0,,
Alain team and customer service,positive,10,Aswad Karim,,,2023-10-16,1,0,0,,
Since service is finished next service not explained .,negative,7,Aries M.,,,2023-10-16,0,1,0,,
To much expensive compared to other brands,negative,5,Aries M.,,,2023-10-16,0,0,1,,
"There are couple of things which I would like to list out here:

- when we had purchased the vehicle, we were advised that service up to 50000 kms were covered under the offer at the time of purchase. Now when I had visited the service center I was advised that the validity of 50000 km is one year and then I will lose the last service as it is falling out of one year. There should be clarity on this.

- second point- I had purchased the vehicle in October/ November 2022 and right now observed that the tyres provided initially were of the year 2021. On this 40k service I was strongly advised by the service advisor that these needs to be changed as it is of year 2021. I had to pay AED 3750 for replacing the tyres which is actually a lack of clarity from your side. When the car was purchased in October/ November 2022 then why were the tyres provided that of year 2021. These are all unknown expenses which were never advised earlier.

Would appreciate it there can be a full clarity when the new car is being delivered and not sure how this cash outflow can be compensated.",negative,8,Asmaa Elsamman,,,2023-10-16,0,1,0,,
Discount and promos,positive,9,Aswad Karim,,,2023-10-17,1,0,0,,
"Avitek does a fantastic job, great communication and a real pleasure to deal with ",positive,10,Avtik Raje,,,2023-10-17,1,0,0,,
Every thing is goood,positive,10,Aswad Karim,,,2023-10-17,1,0,0,,
i can suggest for continuity and maintaining of the good service you already are providing.,positive,10,Juan Kasilag,,,2023-10-17,1,0,0,,
Prices for services and parts hesitate me to do the service there. It's much cheaper outside,negative,10,Ali Musa,,,2023-10-17,1,0,0,,
"The managers present, whether in the sales department or in the maintenance department, are inefficient, especially the director of the sales department for used cars. A peak in provocation and blaming others. They all bear responsibility for the maintenance personnel and the employees who work for them. But if the manager is indifferent to the customer's comfort and satisfaction, you don't mind his employees. I am more than dissatisfied and dissatisfied with the service. No one in Al Masaood tried to contact me to make my experience better. On the contrary, I am the one who pursues them and I get the worst answers and updates from the religious managers who represent Al Masaood Company in front of customers. All of them should be held accountable, especially the manager of the used cars section because he is the worst among all",negative,0,Khalil Rahman,,,2023-10-17,0,0,1,,
I want to make a complaint because we bought new car not even crossed 10 K kilometers but the car stopped in the middle of the road on the way to Dubai abruptly this is not acceptable and also they said it’s fuel pump censor issue although we have petrol in the car the censor is giving wrong information and need to change the censor. They have ordered the parts it will take sometime they said. But just want to make a strong statement is that Even after changing y he censor if the problem reoccurs then we need to replace our car with new car.,negative,5,Clifford P.,,,2023-10-17,0,0,1,,
"Great reception , Excellent supervision. And perfect job will done",positive,10,Soad Mansour,,,2023-10-18,1,0,0,,
Ahmed is very helpful thanks to Ahmed,positive,10,Ahmed Layth,,,2023-10-18,1,0,0,,
"Provide wifi
But salwa is extremely wonderful ",positive,10,Salwa Rboub,,,2023-10-18,1,0,0,,
"Kamal is always very supportive, receptive and kind whenever I go to get my car serviced. People like him definitely make this experience better. ",positive,10,Kamal Al Saber,,,2023-10-18,1,0,0,,
I thank employee Ahmed for his good treatment and good character,positive,10,Ahmed Layth,,,2023-10-18,1,0,0,,
"This is my first time visit to this service centre , the overall service was below my expectations as the service agent just received my car and recommended to add some extra services with extra charge even I have the service package , as well as nobody explained to me how was the service and what are the comments on the vehicle that I have take care , I never had any positive or negative feedback ,they just finished the regular service and printed the regular service report without any explanation or comments

Finally, I will never visit this service centre again , by the way the musaffah centre is much better . ",negative,6,Nabeel A.,,,2023-10-18,0,0,1,,
I booked for 10k under Maintenance Contract and I include in the booking the camera issue in the right side of the car. Camera did not solve and ask me to book again. This is wasting my time to come back again. Nissan should repair the camera in my first booking appearance. Nissan should improve manpower and poor consumer service.,negative,1,Marla Nunez,,,2023-10-18,0,0,1,,
Very excellent,positive,10,Avtik Raje,,,2023-10-19,1,0,0,,
Perfect service,positive,10,Ahmed Layth,,,2023-10-19,1,0,0,,
Thank Mr. Abdulkarim,positive,10,Aswad Karim,,,2023-10-19,1,0,0,,
"I will never ever sell my infiniti car because of the prestigious service that I'm getting from Al Ain service center, Mohammed and Sharbel dealing with the clients like they serve their own cars 
This way you get infinitely loyal customers 

And this is my feedback after 15 years of dealing with multiple branded cars ",negative,10,Charbel Semaan,,,2023-10-19,1,0,0,,
Please do some improvement on washing and cleaning,negative,10,Nabeel A.,,,2023-10-19,1,0,0,,
your prices for general maintenance tooooo High my second car will not be NIssan for this reason,negative,5,Avtik Raje,,,2023-10-19,0,0,1,,
There are no notes,negative,10,Khalid Khamis,,,2023-10-19,1,0,0,,
Anand is very professional in his approach. He calls if necessary and updates me in my car’s progress. He took care of the necessary repairs especially the replacement of faulty part that my car needed and gave me instructions on what to do in the future. He also gave assurance that if problems persist I can reach out to him. Overall I am pleased.,positive,10,Anandhakrishnan,,,2023-10-20,1,0,0,,
"I have an observation about washing the car from the outside. Excellent 
But inside there was a sticky residue of food stuck on the chair that was not cleaned 

If it is possible, as a customer, every time I need a driver to take us home and return us back to collect the car after maintenance work, even if it is for a sum of money 
Thank you ",negative,10,Ahmed Layth,,,2023-10-20,1,0,0,,
By not lying to customers in buying cars that are under warranty and faults that are under warranty are not repaired,negative,0,Abuthahir T.S.,,,2023-10-20,0,0,1,,
"The parts took long time to arrive.
Your pricing policy is not competitive with prices in Dubai renault service center",negative,5,Kamal Al Saber,,,2023-10-20,0,0,1,,
"I would like to thank the staff in customer service her name Marla , she is excellent in service and very knowledgeable and helpful , best one i have ever deal with him in all my experience in customer services , she deserves best reward like upgrade ",positive,10,Marla Nunez,,,2023-10-21,1,0,0,,
Quick and simple. Thank you.,positive,9,Vivian Rodricks,,,2023-10-21,1,0,0,,
"Marla is excellent everything was great 
Only when we ask the call center for question request for a call back from the service center takes long or doesn’t happen ",positive,10,Marla Nunez,,,2023-10-21,1,0,0,,
"This time was excellent. I love and support digital transformation very much. The idea of ​​the reports is very excellent and I hope you will continue to improve them continuously. For example, adding a picture of the parts to be replaced, adding the final prices of the parts to be replaced, including wages. Thus, I can make a quick decision that saves time and effort on both sides.",positive,10,Clifford P.,,,2023-10-21,1,0,0,,
Vivien is very helpful,positive,10,Vivian Rodricks,,,2023-10-21,1,0,0,,
Things are good,positive,10,Mohamed Mohsen,,,2023-10-21,1,0,0,,
Keep up the good work,positive,10,Mohamed Mohsen,,,2023-10-21,1,0,0,,
Tanks Ali and his terminé,positive,10,Ali Musa,,,2023-10-21,1,0,0,,
Cliff is good and was supportive,positive,9,Clifford P.,,,2023-10-21,1,0,0,,
Washing car took bit time but overall service was good.,positive,10,Avtik Raje,,,2023-10-21,1,0,0,,
Your prices and fees are extremely high,positive,10,Aswad Karim,,,2023-10-21,1,0,0,,
"At the end of the check, we cleaned the car. After cleaning, it was good in the car. I don't know whether it was the cleaning or another problem. I brought it for maintenance and they told me there is nothing to indicate that there is a good thing",negative,10,Charbel Semaan,,,2023-10-21,1,0,0,,
"My car was involved in an accident by the delivery car. I expected to offer a replacement car during the repair period. In any case, I thank the good follow-up and communication from the customer service staff I contacted. I recommend imposing strict instructions on delivery drivers to drive at an appropriate speed. I do not know if the car was well installed.",negative,8,6772 Neema Sabti,,,2023-10-21,0,1,0,,
Every thing is amazing,positive,10,Aswad Karim,,,2023-10-22,1,0,0,,
Good service thx,positive,10,Shathe Kno,,,2023-10-23,1,0,0,,
A proposal to allow communication with the maintenance engineer to understand the problems and possible solutions,positive,9,Soad Mansour,,,2023-10-23,1,0,0,,
Fast maintenance,negative,10,Nabeel A.,,,2023-10-23,1,0,0,,
The issue of not being able to remove the spare wheel was not resolved. My car had to be recovered after a puncture because the spare tyre could not be removed. The anti theft lock not does not unlock.,negative,10,Janidu Harindra,,,2023-10-23,1,0,0,,
Excellent service advisor,positive,10,Aswad Karim,,,2023-10-24,1,0,0,,
Thanks to Charbel for providing professional services with clear communication & honesty,positive,10,Charbel Semaan,,,2023-10-24,1,0,0,,
outstanding,positive,10,Anandhakrishnan,,,2023-10-24,1,0,0,,
Distribution of brochures and gifts,positive,10,Moamen Mohamed,,,2023-10-24,1,0,0,,
"I thank the receptionist for his respect, interaction and communication with me ",positive,10,Charbel Semaan,,,2023-10-24,1,0,0,,
To provide a replacement vehicle or a free transport when the vehicle on service.,positive,9,Nabeel A.,,,2023-10-24,1,0,0,,
Providing a car in case my own car is available for maintenance,negative,9,Ahmed Layth,,,2023-10-24,1,0,0,,
The staff is at the required level and their services are always great in progress 😍🥰,positive,10,Salwa Rboub,,,2023-10-25,1,0,0,,
Very good service,positive,10,Nabeel A.,,,2023-10-25,1,0,0,,
Thanks for your brilliant service,positive,10,Md Sekander,,,2023-10-25,1,0,0,,
Thanks Almasood,positive,10,Muhammad Habib,,,2023-10-25,1,0,0,,
"When I booked I asked for Pickup Service, and was told that the Service Centre would contact me to arrange- they did not and I had to phone on the day of the service to arrange. Consequently I do not have any confidence in booking services with you for the future",negative,7,Nassir Al Mendhry,,,2023-10-25,0,1,0,,
"The car trunk started squeaking which was not there earlier and the car was not washed, already informed the staff. ",negative,0,Soad Mansour,,,2023-10-25,0,0,1,,
I am extremely disappointed with Nissan. My Patrol vehicle is just 6 months old and they have found a leak. Service said they fixed it but I am still thinking how can a brand new car have a leak. I don’t know whom to approach and what’s to be done.,negative,4,Juan Kasilag,,,2023-10-25,0,0,1,,
"I would like to thanks Ala 
I would like to thank Sayed Alaa who helped us solve the purchase of the car with the speed of ordering and he made me feel with all respect, friendliness and dedication. Thank you to Sayed Alaa from Al Ain Al Masoud branch.",positive,10,Charbel Semaan,,,2023-10-26,1,0,0,,
Excellent efforts from all with thanks,positive,10,Ahmed Layth,,,2023-10-26,1,0,0,,
The service is excellent and fast,positive,10,Muhammad Habib,,,2023-10-26,1,0,0,,
"No PM checklist was given after the service finish, unlike before after the service theres a checklist given ",positive,5,Juan Kasilag,,,2023-10-26,0,0,1,,
Excellent team work,positive,9,Soad Mansour,,,2023-10-27,1,0,0,,
Customer service and desk personal were doing good job. I'm very satisfied with service.,positive,9,Kamal Al Saber,,,2023-10-27,1,0,0,,
Very good customer treat and service,positive,8,Harish V.,,,2023-10-27,0,1,0,,
"I appreciate the service agent Harish , the receptionist lady ( don’t recall the name) ",positive,10,Harish V.,,,2023-10-27,1,0,0,,
Offer promotions and discounts to attract owners,positive,8,Minas Elie C.,,,2023-10-27,0,1,0,,
Personally think that Nissan should offer free drop off for clients.,negative,10,Clifford P.,,,2023-10-27,1,0,0,,
Nissan is not doing repairs. Instead of repairs they are changing newly pats. What we expect from Nissan is a repairs if that can be repaired I stead of new parts so the customer will visit Nissan happily.,negative,10,Anandhakrishnan,,,2023-10-27,1,0,0,,
"Dear almasood automobiles, 
The job done but i received the car not as agreed time and this made me unhappy. the job only to program the new key !!

Best Regards 
Ahmad",negative,4,Soad Mansour,,,2023-10-27,0,0,1,,
"Every step in the service was smooth, easy, and professionally delivered.
Please, keep it going as it is, it’s perfect and commendable.
Thank you so much indeed.",positive,10,Aswad Karim,,,2023-10-28,1,0,0,,
Thank you to Marla for a quick service and good explanation.,positive,10,Marla Nunez,,,2023-10-28,1,0,0,,
Thanks for nabeel,positive,10,Nabeel A.,,,2023-10-28,1,0,0,,
"Keep up the good work, service!",positive,10,Marla Nunez,,,2023-10-28,1,0,0,,
Excellent adviser,positive,10,Anandhakrishnan,,,2023-10-28,1,0,0,,
"Explain the details and breakdowns of your services
Without reminding you of other benefits I got as information from other employees other than the one who received my order and so on.
Good luck to the Imam",positive,7,Shathe Kno,,,2023-10-28,0,1,0,,
The cover under the car which came off immediately after the earlier service has not yet been replaced,negative,9,Nabeel A.,,,2023-10-28,1,0,0,,
Prices are not affordable,negative,9,Clifford P.,,,2023-10-28,1,0,0,,
"Hi sir , actually I have appointment 10.45 am , only oil and filter change, but I am waiting 10.30 am to 2.45 pm, car delivery 2.45 pm , that is small job , one day spoil my day, ",negative,6,Vivian Rodricks,,,2023-10-28,0,0,1,,
Brother Kamal is a classy and wonderful person. He himself is his presence as an employee who develops,positive,10,Kamal Al Saber,,,2023-10-30,1,0,0,,
Some years ago taxi was included in the service. Now you charge 50 dhs that is very high.,positive,8,Avtik Raje,,,2023-10-30,0,1,0,,
There is no suggestion,negative,10,Mohd Noureldin,,,2023-10-30,1,0,0,,
I bought a car and haven’t completed a year yet. I’ve been facing many problems with the car especially the driver’s door which makes a noisy sound! I’ve mentioned this problem several times but this problem isn’t solved yet. Really the worst experience ever with Nissan Almasood.,negative,0,Mohamed Mohsen,,,2023-10-30,0,0,1,,
"Already satisfied with your service.
Thank You",positive,10,Kamal Al Saber,,,2023-10-31,1,0,0,,
Detailed Service report in hard copy or soft copy through email should be sent after service.,positive,9,Janidu Harindra,,,2023-10-31,1,0,0,,
"We need online payment so I don’t have to come and pay i can directly take the car by recovery. 

Thanks ",negative,10,Clifford P.,,,2023-10-31,1,0,0,,
I would like to thank brother Sherbel for the good reception and the quality of the service provided..,positive,10,Charbel Semaan,,,2023-11-01,1,0,0,,
The team must ensure the cleanliness of the car before receiving the customer.,positive,5,Mohammed Osman,,,2023-11-01,0,0,1,,
More offers on maintenance services,negative,10,Mohamed Mohsen,,,2023-11-01,1,0,0,,
Amazing service and attention. Specially from Agent Soad Mansour!!,positive,10,Soad Mansour,,,2023-11-02,1,0,0,,
"everything was more than perfect to me, bashar gave me the best help and service.",positive,10,Minas Elie C.,,,2023-11-02,1,0,0,,
Cleanliness not that much perfect. Improve next time “washing and cleaning”.,positive,5,Soad Mansour,,,2023-11-02,0,0,1,,
Reducing the value of the service and thank you,positive,10,Muhammad Habib,,,2023-11-02,1,0,0,,
"Supervisor need to check that technicians don't generate faults while doing minor maintenance.

This is very serious as it has high potential for HSE risks.",negative,0,Juan Kasilag,,,2023-11-02,0,0,1,,
Kindly get someone from your headoffice contact me to assist with the dissatisfaction i had from the service center and support me in raising a complaint to Renault EMEA Management as am planning to do that from my end,negative,0,Kamal Al Saber,,,2023-11-02,0,0,1,,
I dont have an issue with the service my concern is that my car is new and i keep getting issues with it,negative,8,Anandhakrishnan,,,2023-11-02,0,1,0,,
My only issue that the recovery changed the T&Cs and they dont take the car for service now,negative,10,Nabeel A.,,,2023-11-02,1,0,0,,
"Let the call center connect us directly to the service department, their information is from the site and takes too long for the requests to bring an answer. Improve the app to give us better traking of tue services and better usability. Please provide us with an actual 
service contract rather than a job card with the information to pay for the services. I would like if the chauffeur service and delivery service were free with package. ",negative,8,Minas Elie C.,,,2023-11-02,0,1,0,,
Very bad company,negative,0,Anandhakrishnan,,,2023-11-02,0,0,1,,
"Except Marla who was trying to assist I don’t think anything else worked well. I picked up the car which was dirty , not washed at all . More important fixing was not done and I again I started hearing same noise from the left side even they changed some part . This is already second time I bringing car within one week time and it’s been with them total 3 full days apparently without solution ",negative,6,Marla Nunez,,,2023-11-02,0,0,1,,
Arsenio provided a very diligent service. Listened to my concerns and solved all issues without hesitation or delay. Top job delivered by Arsenio and the servicing team.,positive,10,Arsenio Mostajo,,,2023-11-03,1,0,0,,
Your services are excellent and thank you,positive,10,Minas Elie C.,,,2023-11-03,1,0,0,,
"Over all experience with Al Masood is great , I have minor concern about ceramic paint protection which I have doubt that it was not done perfectly as I can see minor scratch in left back of car pumpers which was filled with some sealer or glue . 
I will show the same to service on my 1000 km service which is expected on 13 or 15 of this month ",positive,9,Marshood TP,,,2023-11-03,1,0,0,,
Thanks for Mr.Prasobh he is very friendly and helpful. All regards,positive,10,Marshood TP,,,2023-11-03,1,0,0,,
"The shop is far from Abu Dhabi, with an additional cost of 150aed for taxi. Find a way to compensate it. ",negative,10,Vivian Rodricks,,,2023-11-03,1,0,0,,
Marla was a really nice person but sadly needed to be reminded and pushed to go the extra mile to find the parts needed for the car. Communication proactively didn’t happen. I’m not sure how quick the whole process would’ve taken if I’d not had messaged day after day. In the end I had no car for 8 days,negative,5,Marla Nunez,,,2023-11-03,0,0,1,,
"They are unclear and I have filed a complaint with the call center more than once. I have not received the complaint number and there is no one following, and we are not committed to your appointments, ",negative,0,Vivian Rodricks,,,2023-11-03,0,0,1,,
I would suggest to have a free recovery in case only if the customer is not able to pick up his car,negative,10,Moamen Mohamed,,,2023-11-03,1,0,0,,
Reduce parts & labor cost,negative,9,Vivian Rodricks,,,2023-11-03,1,0,0,,
"The service at Al Masaood is very excellent 
But the prices are high for me 

And thank you very much ",positive,10,Clifford P.,,,2023-11-04,1,0,0,,
"Awesome service without any delay, customer service reps he knows his work very well, awesome kudos ",positive,10,Aries M.,,,2023-11-04,1,0,0,,
Sales team was supporting perfectly in an easy way,positive,10,Janidu Harindra,,,2023-11-04,1,0,0,,
"There were a couple of concerns that I feel Renault as a Brand needs to improve for AL masaood Automobiles.

1. Service Center- I honestly feel Renault Mussafah service for customers is the smallest service center - in terms of space and service advisor compared to nissan and infinite. I honestly feel that al masaood -Renault should invest in a bigger space in terms of accommodating more customers in their service reception area and hire more service advisors. If you want to have more potential customers in the near future before selling the vehicle, please do invest in a proper after-sales service infracture. I feel as a renault customer that i dont feel valued compared to nissan / Infinite. I feel renault division compared to nissan / infinite is neglected in all aspects in terms of after-sales service. Me being a renault is planning on changing my vehicle brand to another one after witnessing all this, and no customer would be happy with the way the customer is being treated in terms of hospitality. 

2. Service advisor - I am only happy in terms of the service advisor you have hired. Mr Vivian & Mr. Kamal, but I am not happy where only you have 2 service advisor for the entire renault in Mussafah, which would increase the waiting period for the customers. I would recommend you to hire more service advisor like Mr. Vivian & Mr.Kamal.
My service Advisor for my 60 K service was Mr. Vivian, I have to say he was going on and beyond his way for providing and helping me with all the service and doubts as and when needed, during his leave , on and after working hours. Which is what a customer needs. A customer needs to have trust in the brands service - which Vivian never failed to provide. He provided an excellent service. Also the same goes with Mr. Kamal, He being the senior most-service advisor in Renault never fails to answer to doubts or queries. 
You need to hire more of Mr. Vivian and Mr. Kamal's character staff as it becomes difficult when one of the staff goes on for his annual leave . Atleast appointment a minimum of 3 to 4 service advisor for renault. 

Past and current service rating 

Mr Vivian - 10/10 , excellent service advisor in terms of customer service, humble, kind and down to earth person. 

Mr. Kamal - 10/10 , the most experienced person ever met in renault. Knows the in and out process of renault cars. Kind and tries his best to support all his customers and advises them the most recommended methods to maintain their car to reduce any future additional expenses in their car

Areas of improvement
1. Hire more staff - hire more staff to accommodate high volume of your customers and reduce the turn around time for addressing a customer and finishing the service on time.
2. Invest in your infrastructure - Have a bigger welcoming area for your customers
3. Have more transparency in service.
4. Get more inventory stocks - my car service was delayed this time because there were no parts available for my Renault Megane - delayed by 1 day for my 60 K service. 
5. Inform the customer in advance if there will be any additional costs.


One more most important thing, I would kindly want to you take into consideration is the Tinting and the polishing part which you guys provide to the customer.

I had also paid for your tinting and polishing and purchased in along with my car and I was surprised to know that you dont do the yearly polish for the cars which other companies provide to maintain the cars shine and protection from all the road debris. Usually companies provide 6 months or yearly complimentary polishing to maintain the cars shine and protection but here in Masood i need to pay extra for the polishing. Please look into this, as i am not able to do my car interior and exterior polish

All I got done now is the tinting replacement, which was covered under warranty by Ms. Suha, She has done an excellent job in supporting and delivering my car on time as promised. She had tried all possible ways to support and clear my inquires regarding the warranty of my car tinting and ceramic polishing. 

I hope my feedback adds value to your upcoming management decisions on the areas to improve.

",negative,10,Vivian Rodricks,,,2023-11-04,1,0,0,,
I’m waiting all day to replace battery,negative,4,Arsenio Mostajo,,,2023-11-04,0,0,1,,
"I was disappointed in Nissan. Good in terms of service 
From the first maintenance, the rating is excellent, but 
The day we arrived for maintenance of 20 thousand and up, the service became with maintenance 
Zero in all respects. I was a fan of Nissan and because of the service, Nissan fell out of love for him 
Unfortunately Nissan fell with Al Masaood 
Salem Mohammed Al Khaili 
Phone number: 0501883888
Email s.m.5.ba@hotmail.com",negative,1,Aswad Karim,,,2023-11-04,0,0,1,,
Amazing service as always!,positive,10,Vivian Rodricks,,,2023-11-06,1,0,0,,
The service advisor was so helpful and made the experience a pleasant one.,positive,10,Mohammed Osman,,,2023-11-06,1,0,0,,
Evening is perfect. Special thanks to Mr. Mohamed Al Mari,positive,10,Marla Nunez,,,2023-11-06,1,0,0,,
"Very professional 
Thank you",positive,10,Marla Nunez,,,2023-11-06,1,0,0,,
"Everything is excellent, the service was fast and the employee's treatment was very classy and professional",positive,10,Moamen Mohamed,,,2023-11-06,1,0,0,,
There is no,positive,10,Nabeel A.,,,2023-11-06,1,0,0,,
Receiving the car from home and returning it home,positive,10,Ali Musa,,,2023-11-06,1,0,0,,
Offer a Free ride drop off or pick up within the city while waiting the service.,positive,9,Marla Nunez,,,2023-11-06,1,0,0,,
Please don’t charge for the taxi service. This should included for free.,negative,10,Clifford P.,,,2023-11-06,1,0,0,,
Reducing the maintenance prices that we want to buy,negative,10,Mohd Noureldin,,,2023-11-06,1,0,0,,
There is no Thank you for your service,negative,8,Avtik Raje,,,2023-11-06,0,1,0,,
"it was a smooth sailing car service, while waiting i enjoyed the free chocolate milk in the lobby and the complementary internet connection, Mr. Aswad had been so helpful in raking me through the process since it's my first time, he was very professional, friendly and approachable. He explained to me the whole procedure and gave me a time frame into which the car would most probably be finishing its service. Overall that was a good experiences for a first time.",positive,10,Aswad Karim,,,2023-11-07,1,0,0,,
Excellent customer service as always. Thank you to Miss Neema who was particularly helpful.,positive,10,6772 Neema Sabti,,,2023-11-07,1,0,0,,
There is no,positive,10,Mohammed Osman,,,2023-11-07,1,0,0,,
Waiting time is more need to improve as its first service only and not major so Need improvement here.,positive,8,Arsenio Mostajo,,,2023-11-07,0,1,0,,
Thank you for listening to our previous complaint. We have applied all the suggestions we have made previously,positive,10,Clifford P.,,,2023-11-07,1,0,0,,
I would like to thank Mr.Anand in Customer service in Airport Road as he was very helpful and supportive..,negative,10,Harish V.,,,2023-11-07,1,0,0,,
Why didn't they refill the washing water for the mirror,negative,6,Arsenio Mostajo,,,2023-11-07,0,0,1,,
Ms Marla were really professional and deal with my car case from first time. All issue were sorted. Great job. Keep it up,positive,10,Marla Nunez,,,2023-11-08,1,0,0,,
"Really happy with how Marla has handled my service. Nissan service experience has been outstanding, so keep it up!",positive,10,Marla Nunez,,,2023-11-08,1,0,0,,
